verse_no,verse
12:10:,"If also thou art not equal to constant practice, be intent on My service; performing actions for My sake, thou shalt attain perfection."
12:11:,"If even to do this thou hast not strength, then, taking refuge in union with Me, renounce all fruit of action with the self controlled."
12:12:,"Better indeed is wisdom than constant practice; than wisdom, meditation is better; than meditation, renunciation of the fruit of action; on renunciation follows peace."
12:13:,"He who beareth no ill-will to any being, friendly and compassionate, without attachment and egoism, balanced in pleasure and pain, and forgiving,"
12:14:,"Ever content, harmonious, with the self controlled, resolute, with mind and Reason dedicated to Me, he, My devotee, is dear to Me."
12:15:,"He from whom the world doth not shrink away, who doth not shrink away from the world, freed from the anxieties of joy, anger, and fear, he is dear to Me."
12:16:,"He who wants nothing, is pure, expert, passionless, untroubled, renouncing every undertaking, he, My devotee, is dear to Me."
12:17:,"He who neither loveth nor hateth, nor grieveth, nor desireth, renouncing good and evil, full of devotion, he is dear to Me."
12:18:,"Alike to foe and friend, and also in fame and ignominy, alike in cold and heat, pleasures and pains, destitute of attachment,"
12:19:,"Taking equally praise and reproach, silent, wholly content with what cometh, homeless, firm in mind, full of devotion, that man is dear to Me."
12:20:,"They verily who partake of this life-giving wisdom as taught herein, endued with faith, I their supreme Object, devotees, they are surpassingly dear to Me."
13:1:,"Arjuna said: Matter and Spirit, even the Field and the Knower of the Field, wisdom and that which ought to be known, these I fain would learn, O Keshava."
13:2:,"The Blessed Lord said: This body, son of Kuntî, is called the Field; that which knoweth it is called the Knower of the Field by the Sages."
13:3:,"Understand Me as the Knower of the Field in all Fields, O Bhârata. Wisdom as to the Field and the Knower of the Field, that in My opinion is the wisdom."
13:4:,"What that Field is and of what nature, how modified, and whence it is, and what He is and what His powers, hear that now briefly from Me."
13:5:,"Rishis have sung in manifold ways, in many various chants, and in decisive Brahma-sutra verses, full of reasonings."
13:6:,"The great Elements, Individuality, Reason and also the unmanifested, the ten senses and the one, and the five pastures of the senses;"
13:7:,"Desire, aversion, pleasure, pain, combination, intelligence, firmness; these, briefly described, constitute the Field and its modifications."
13:8:,"Humility, unpretentiousness, harmlessness, forgiveness, rectitude, service of the teacher, purity, steadfastness, self-control,"
13:9:,"Dispassion towards the objects of the senses, and also absence of egoism, insight into the pain and evil of birth, death, old age and sickness,"
13:10:,"Unattachment, absence of self-identification with son, wife or home, and constant balance of mind in wished-for and unwished-for events,"
13:11:,"Unflinching devotion to Me by yoga, without other objects, resort to sequestered places, absence of enjoyment in the company of men,"
13:12:,"Constancy in the wisdom of the Self, understanding of the object of essential wisdom; that is declared to be the Wisdom; all against it is ignorance."
13:13:,"I will declare that which ought to be known, that which being known immortality is enjoyed—the beginningless supreme Eternal, called neither being nor non-being."
13:14:,"Everywhere That hath hands and feet, everywhere eyes, heads, and mouths; all-hearing, He dwelleth in the world, enveloping all."
13:15:,Shining with all sense-faculties without any senses; unattached supporting everything and free from qualities enjoying qualities;
13:16:,"Without and within all beings, immovable and also movable; by reason of His subtlety imperceptible; at hand and far away is That."
13:17:,"Not divided amid beings, and yet seated distributively; that is to be known as the supporter of beings; He devours and He generates."
13:18:,"That, the Light of all lights, is said to be beyond darkness; Wisdom, the Object of Wisdom, by Wisdom to be reached, seated in the hearts of all."
13:19:,"Thus the Field, Wisdom and the Object of Wisdom, have been briefly told. My devotee, thus knowing, enters into My Being."
13:20:,Know thou that Matter and Spirit are both without beginning; and know thou also that modifications and qualities are all Matter-born.
13:21:,Matter is called the cause of the generation of causes and effects; Spirit is called the cause of the enjoyment of pleasure and pain.
13:22:,Spirit seated in Matter useth the qualities born of Matter; attachment to the qualities is the cause of his births in good and evil wombs.
13:23:,"Supervisor and permitter, supporter, enjoyer, the great Lord, and also the supreme Self; thus is styled in this body the supreme Spirit."
13:24:,"He who thus knoweth Spirit and Matter with its qualities, in whatsoever condition he may be, he shall not be born again."
13:25:,"Some by meditation behold the Self in the self by the Self; others by the Sânkhya Yoga, and others by the Yoga of Action;"
13:26:,"Others also, ignorant of this, having heard of it from others, worship; and these also cross beyond death, adhering to what they had heard."
13:27:,"Whatsoever creature is born, immobile or mobile, know thou, O best of the Bharatas, that it is from the union between the Field and the Knower of the Field."
13:28:,"Seated equally in all beings, the supreme Lord, unperishing within the perishing—he who thus seeth, he seeth."
13:29:,"Seeing indeed everywhere the same Lord equally dwelling, he doth not destroy the Self, and thus treads the highest Path."
13:30:,"He who seeth that Matter verily performeth all actions, and that the Self is actionless, he seeth."
13:31:,"When he perceiveth the diversified existence of beings as rooted in One, and spreading forth from it, then he reacheth the Eternal."
13:32:,"Being beginningless and without qualities, the imperishable supreme Self, though seated in the body, O Kaunteya, worketh not nor is affected."
13:33:,"As the omnipresent ether is not affected, by reason of its subtlety, so seated everywhere in the body the Self is not affected."
13:34:,"As the one sun illumineth the whole earth, so the Lord of the Field illumineth the whole Field, O Bhârata."
13:35:,"They who by the eyes of Wisdom perceive this difference between the Field and the Knower of the Field, and the liberation of beings from Matter, they go to the Supreme."
14:1:,"The Blessed Lord said: I will again proclaim that supreme Wisdom, of all wisdom the best, which having known, all the Sages have gone hence to the supreme Perfection."
14:2:,"Having taken refuge in this Wisdom and being assimilated to My own nature, they are not re-born even in the emanation of a universe, nor are disquieted in the dissolution."
14:3:,"My womb is the great Eternal; in that I place the germ; thence cometh the birth of all beings, O Bharata."
14:4:,"In whatsoever wombs mortals are produced, O Kaunteya, the great Eternal is their womb, I their generating father."
14:5:,"Harmony, Motion, Inertia, such are the qualities, Matter-born; they bind fast in the body, O great-armed one, the indestructible dweller in the body."
14:6:,"Of these Harmony, from its stainlessness, luminous and healthy, bindeth by the attachment to bliss and the attachment to wisdom, O sinless one."
14:7:,"Motion, the passion-nature, know thou, is the source of attachment and thirst for life, O Kaunteya, that bindeth the dweller in the body by the attachment to action."
14:8:,"But Inertia, know thou, born of unwisdom, is the deluder of all dwellers in the body; that bindeth by heedlessness, indolence and sloth, O Bharata."
14:9:,"Harmony attacheth to bliss, Motion to action, O Bharata. Inertia, verily, having shrouded wisdom, attacheth on the contrary to heedlessness."
14:10:,"Now Harmony prevaileth, having overpowered Motion and Inertia, O Bharata; now Motion, having overpowered Harmony and Inertia; and now Inertia, having overpowered Harmony and Motion."
14:11:,"When the wisdom-light streameth forth from all the gates of the body, then it may be known that Harmony is increasing."
14:12:,"Greed, outgoing energy, undertaking of actions, restlessness, desire—these are born of the increase of Motion, O best of the Bharatas."
14:13:,"Darkness, stagnation and heedlessness and also delusion—these are born of the increase of Inertia, O joy of the Kurus."
14:14:,"If Harmony verily prevaileth when the embodied goeth to dissolution, then he goeth forth to the spotless worlds of the great Sages."
14:15:,"Having gone to dissolution in Motion, he is born among those attached to action; if dissolved in Inertia, he is born in the wombs of the senseless."
14:16:,"It is said the fruit of a good action is harmonious and spotless; verily the fruit of Motion is pain, and the fruit of Inertia unwisdom."
14:17:,"From Harmony wisdom is born, and also greed from Motion; heedlessness and delusion are of Inertia and also unwisdom."
14:18:,"They rise upwards who are settled in Harmony; the Active dwell in the mid-most place: the Inert go downwards, enveloped in the vilest qualities."
14:19:,"When the Seer perceiveth no agent other than the qualities, and knoweth That which is higher than the qualities, he entereth into My Nature."
14:20:,"When the dweller in the body hath crossed over these three qualities, whence all bodies have been produced, liberated from birth, death, old age and sorrow, he drinketh the nectar of immortality."
14:21:,"Arjuna said: What are the marks of him who hath crossed over the three qualities, O Lord? How acteth he, and how doth he go beyond these three qualities?"
14:22:,"The Blessed Lord said: He, O Pandava, who hateth not radiance, nor outgoing energy, nor even delusion, when present, nor longeth after them, absent;"
14:23:,"He who, seated as a neutral, is unshaken by the qualities; who saying, ""The qualities revolve,"" standeth apart immovable,"
14:24:,"Balanced in pleasure and pain, self-reliant, to whom a lump of earth, a rock and gold are alike, the same to loved and unloved, firm, the same in censure and in praise,"
14:25:,"The same in honour and ignominy, the same to friend and foe, abandoning all undertakings—he is said to have crossed over the qualities."
14:26:,"And he who serveth Me exclusively by the Yoga of devotion, he, crossing beyond the qualities, he is fit to become the Eternal."
14:27:,"For I am the abode of the Eternal, and of the indestructible nectar of immortality, of immemorial righteousness, and of unending bliss."
15:1:,"The Blessed Lord said: With roots above, branches below, the Asvattha is said to be indestructible; the leaves of it are hymns; he who knoweth it is a Veda-knower."
15:2:,"Downwards and upwards spread the branches of it, nourished by the qualities; the objects of the senses its buds; and its roots grow downwards, the bonds of action in the world of men."
15:3:,"Nor here may be acquired knowledge of its form, nor its end, nor its origin, nor its rooting place; this strongly rooted Asvattha having been cut down, by the unswerving weapon of non-attachment."
15:4:,"That path beyond may be sought, treading which there is no return. I go indeed to that Primal Man, whence the ancient energy forth-streamed."
15:5:,"Without pride and delusion, victorious over the vice of attachment, dwelling constantly in the Self, desire pacified, liberated from the pairs of opposites known as pleasure and pain, they tread, undeluded, that indestructible path."
15:6:,"Nor doth the sun lighten there, nor moon, nor fire; having gone thither they return not; that is My supreme abode."
15:7:,"A portion of Mine own Self, transformed in the world of life into an immortal Spirit, draweth round itself the senses of which the mind is the sixth, veiled in matter."
15:8:,"When the Lord acquireth a body and when He abandoneth it, He seizeth these and goeth with them, as the wind takes fragrances from their retreats."
15:9:,"Enshrined in the ear, the eye, the touch, the taste and the smell, and in the mind also, He enjoyeth the objects of the senses."
15:10:,"The deluded do not perceive (Him) when He departeth or stayeth, or enjoyeth, swayed by the qualities; the wisdom-eyed perceive."
15:11:,"Yogis also, struggling, perceive Him, established in the Self; but though struggling the unintelligent perceive Him not, their selves untrained."
15:12:,"That splendour issuing from the sun that enlighteneth the whole world, that which is in the moon and in fire, that splendour know as from Me."
15:13:,"Permeating the soil, I support beings by my vital energy, and having become the delicious Soma I nourish all plants."
15:14:,"I, having become the Fire of Life, take possession of the bodies of breathing things, and united with the life-breaths, I digest the four kinds of food."
15:15:,"And I am seated in the hearts of all, and from Me memory and wisdom and their absence. And that which is to be known in all the Vedas am I; and I indeed the Veda-knower and the author of the Vedanta."
15:16:,"There are two Energies in this world, the destructible and the indestructible; the destructible is all beings, the unchanging is called the indestructible."
15:17:,"The highest Energy is verily Another, declared as the Supreme Self, He who pervading all sustaineth the three worlds, the indestructible Lord."
15:18:,"Since I excel the destructible, and am more excellent also than the indestructible, in the world and in the Veda I am proclaimed the Supreme Spirit."
15:19:,"He who undeluded knoweth Me thus as the Supreme Spirit, he, all-knowing, worshippeth Me with his whole being, O Bharata."
15:20:,"Thus by Me this most secret teaching hath been told, O sinless one. This known, he hath become illuminated, and hath finished his work, O Bharata."
16:1:,"The Blessed Lord said: Fearlessness, cleanness of life, steadfastness in the Yoga of wisdom, almsgiving, self-restraint and sacrifice and study of the Scriptures, austerity and straightforwardness,"
16:2:,"Harmlessness, truth, absence of wrath, renunciation, peacefulness, absence of crookedness, compassion to living beings, uncovetousness, mildness, modesty, absence of fickleness,"
16:3:,"Vigour, forgiveness, fortitude, purity, absence of envy and pride—these are his who is born with the divine properties, O Bhârata."
16:4:,"Hypocrisy, arrogance and conceit, wrath and also harshness and unwisdom are his who is born, O Pârtha, with demoniacal properties."
16:5:,"The divine properties are deemed to be for liberation, the demoniacal for bondage. Grieve not, thou art born with divine properties, O Pândava."
16:6:,"Twofold is the animal creation in this world, the divine and the demoniacal: the divine hath been described at length: hear from Me, O Pârtha, the demoniacal."
16:7:,"Demoniacal men know neither right energy nor right abstinence; nor purity, nor even propriety, nor truth is in them."
16:8:,"""The universe is without truth, without basis,"" they say, ""without a God; brought about by mutual union, and caused by lust and nothing else."""
16:9:,"Holding this view, these ruined selves of small understanding, of fierce deeds, come forth as enemies for the destruction of the world."
16:10:,"Surrendering themselves to insatiable desires, possessed with vanity, conceit and arrogance, holding evil ideas through delusion, they engage in action with impure resolves."
16:11:,"Giving themselves ever to unmeasured thought whose end is death, regarding the gratification of desires as the highest, feeling sure that this is all,"
16:12:,"Held in bondage by a hundred ties of expectation, given over to lust and anger, they strive to obtain by unlawful means hoards of wealth for sensual enjoyments."
16:13:,"""This to-day by me hath been won, that purpose I shall gain; this wealth is mine already, and also this shall be mine in future."
16:14:,"""I have slain this enemy, and others also I shall slay. I am the Lord, I am the enjoyer, I am perfect, powerful, happy;"
16:15:,"""I am wealthy, well-born; what other is there that is like unto me? I will sacrifice, I will give alms, I will rejoice."" Thus deluded by unwisdom,"
16:16:,"Bewildered by numerous thoughts, enmeshed in the web of delusion, addicted to the gratification of desire, they fall downwards into a foul hell."
16:17:,"Self-glorifying, stubborn, filled with the pride and intoxication of wealth, they perform lip-sacrifices for ostentation, contrary to scriptural ordinance."
16:18:,"Given over to egoism, power, insolence, lust and wrath, these malicious ones hate Me in the bodies of others and in their own."
16:19:,"These haters, evil, pitiless, vilest among men in the world, I ever throw down into demoniacal wombs."
16:20:,"Cast into demoniacal wombs, deluded birth after birth, attaining not to Me, O Kaunteya, they sink into the lowest depths."
16:21:,"Triple is the gate of this hell, destructive of the self—lust, wrath, and greed; therefore let man renounce these three."
16:22:,"A man liberated from these three gates of darkness, O son of Kuntî, accomplisheth his own welfare, and thus reacheth the highest goal."
16:23:,"He who having cast aside the ordinances of the Scriptures, followeth the promptings of desire, attaineth not to perfection, nor happiness, nor the highest goal."
16:24:,"Therefore let the Scriptures be thy authority, in determining what ought to be done, or what ought not to be done. Knowing what hath been declared by the ordinances of the Scriptures, thou oughtest to work in this world."
17:1:,"Arjuna said: Those that sacrifice full of faith, but casting aside the ordinances of the Scriptures, what is verily their condition, O Krishna? Is it one of Purity, Passion, or Darkness?"
17:2:,"The Blessed Lord said: Threefold is by nature the inborn faith of the embodied—pure, passionate, and dark. Hear thou of these."
17:3:,"The faith of each is shaped to his own nature, O Bharata. The man consists of his faith; that which his faith is, he is even that."
17:4:,"Pure men worship the Gods; the passionate, the gnomes and giants; the others, the dark folk, worship ghosts and troops of nature spirits."
17:5:,"The men who perform severe austerities, unenjoined by the Scriptures, wedded to vanity and egoism, impelled by the force of their desires and passions,"
17:6:,"Unintelligent, tormenting the aggregated elements forming the body, and Me also, seated in the inner body, know these demoniacal in their resolves."
17:7:,"The food also which is dear to each is threefold, as also sacrifice, austerity and almsgiving. Hear thou the distinction of these."
17:8:,"The foods that augment vitality, energy, vigour, health, joy and cheerfulness, delicious, bland, substantial and agreeable, are dear to the pure."
17:9:,"The passionate desire foods that are bitter, sour, saline, over-hot, pungent, dry and burning and which produce pain, grief and sickness."
17:10:,"That which is stale and flat, putrid and corrupt, leavings also and unclean, is the food dear to the dark."
17:11:,"The sacrifice which is offered by men without desire for fruit, as enjoined by the ordinances, under the firm belief that sacrifice is a duty, that is pure."
17:12:,"The sacrifice offered with a view verily to fruit, and also indeed for self-glorification, O best of the Bharatas; know thou that to be of passion."
17:13:,"The sacrifice contrary to the ordinances, without distributing food, devoid of words of power and without gifts, empty of faith, is said to be of darkness."
17:14:,"Worship given to the Gods, to the twice-born, to the teachers and to the wise, purity, straightforwardness, continence and harmlessness, are called the austerity of the body."
17:15:,"Speech causing no annoyance, truthful, pleasant and beneficial, the practice of the study of the Scriptures, are called the austerity of speech."
17:16:,"Mental happiness, equilibrium, silence, self-control, purity of nature—this is called the austerity of the mind."
17:17:,"This threefold austerity, performed by men with the utmost faith, without desire for fruit, harmonised, is said to be pure."
17:18:,"The austerity which is practised with the object of gaining respect, honour and worship, and for ostentation, is said to be of passion, unstable and fleeting."
17:19:,"That austerity done under a deluded understanding, with self-torture, or with the object of destroying another, that is declared of darkness."
17:20:,"That alms given to one who does nothing in return, believing that a gift ought to be made in a fit place and time to a worthy person, that alms is accounted pure."
17:21:,"That given with a view to receiving in return, or looking for fruit again, or grudgingly, that alms is accounted of passion."
17:22:,"That alms given at unfit place and time, and to unworthy persons, disrespectfully and contemptuously, that is declared of darkness."
17:23:,"""AUM TAT SAT,"" this has been considered to be the threefold designation of the Eternal. By that were ordained of old Brahmanas, Vedas and sacrifices."
17:24:,"Therefore with the pronunciation of ""AUM"" the acts of sacrifice, gift and austerity as laid down in the ordinances are always commenced by the knowers of the Eternal."
17:25:,"With the pronunciation of ""TAT"" and without aiming at fruit are performed the various acts of sacrifice, austerity and gift, by those desiring liberation."
17:26:,"""SAT"" is used in the sense of reality and goodness; likewise, O Partha, the word ""SAT"" is used in the sense of a good work."
17:27:,"Steadfastness in sacrifice, austerity and gift is also called ""SAT"", and an action for the sake of the Supreme is also named ""SAT""."
17:28:,"Whatsoever is wrought without faith, oblation, gift, austerity, or other deed, ""ASAT"" it is called, O Partha; it is nought, here or hereafter."
18:1:,"Arjuna said: I desire to know severally the essence of renunciation, O mighty-armed, and of abandonment, O Hrishikesha, as also of each apart, O slayer of Keshi."
18:2:,The Blessed Lord said: Sages understand as renunciation the renouncing of works with desire; the wise declare the abandonment of the fruit of all works as abandonment.
18:3:,"""Action should be abandoned as an evil,"" say some learned men; ""acts of sacrifice, gift and austerity should not be abandoned,"" say others."
18:4:,"Hear My conclusions as to that abandonment, O best of the Bharatas; abandonment, verily, O tiger of men, has been explained as threefold."
18:5:,"Acts of sacrifice, gift and austerity should not be abandoned, but should be performed; sacrifice, gift and also austerity are the purifiers of the intelligent."
18:6:,"But even these actions should be performed under the abandonment of attachment and the fruit; such, O Partha, is My certain and best belief."
18:7:,Verily renunciation of a required action is not proper; the abandonment thereof from delusion is said to be of darkness.
18:8:,"He who abandoneth an action from fear of physical suffering, saying ""it is painful,"" thus performing a passionate abandonment, obtaineth not the fruit of abandonment."
18:9:,"He who performeth a required action, O Arjuna, saying, ""it ought to be done,"" abandoning attachment and fruit also, that abandonment is regarded as pure."
18:10:,"The abandoner, filled with purity, intelligent, with various doubts dispelled, hateth not unpleasurable action, nor is attached to pleasurable."
18:11:,For verily it is not possible for an embodied being to abandon actions completely; but he who abandoneth the fruit of action is said to be an abandoner.
18:12:,"Good, evil and mixed—threefold is the fruit of action hereafter for the non-abandoners; but there is none ever for the renouncers."
18:13:,"Learn from Me, O mighty-armed, these five causes, as declared in the Sankhya system, for the accomplishment of all actions:"
18:14:,"The body, the actor, the various organs, the diverse kinds of energies, and the presiding deities also, the fifth."
18:15:,"Whatever action a man performeth by his body, speech and mind, whether right or the reverse, these five are the causes thereof."
18:16:,"That being so, he verily who—owing to untrained Reason—looketh on the Self, which is isolated, as the actor, he seeth not, a man of perverted intelligence."
18:17:,"He who is free from the egoistic notion, whose Reason is not affected, though he slay these peoples, he slayeth not, nor is he bound by the action."
18:18:,"Knowledge, the knowable and the knower, the threefold impulse to action; the organ, the action, the actor, the threefold constituents of action."
18:19:,"Knowledge, action and actor in the category of qualities are also said to be threefold, from the difference of qualities; hear thou also these duly."
18:20:,"That by which one indestructible Being is seen in all beings, inseparate in the separated, know thou that knowledge as pure."
18:21:,"But that knowledge which regardeth the several existences of various kinds in all beings as separate, know thou that knowledge as passionate."
18:22:,"While that which clingeth to each one thing as if it were the whole, without reason, without its real object and narrow, that is declared to be dark."
18:23:,"An action which is ordained, done by one is unattached to fruit, devoid of attachment or repulsion, that is called pure."
18:24:,"But that action that is done by one longing for desires, or again with egoism, or with much effort, that is declared to be passionate."
18:25:,"The action undertaken from delusion, without regard to capacity and to consequences—loss and injury to others—that is declared to be dark."
18:26:,"Liberated from attachment, not egoistic, endued with firmness and confidence, unchanged by success or failure, that actor is called pure."
18:27:,"Passionate, desiring to obtain the fruit of action, greedy, harmful, impure, moved by joy and sorrow, such an actor is pronounced passionate."
18:28:,"Discordant, vulgar, stubborn, cheating, malicious, indolent, despairful and procrastinating, such an actor is called dark."
18:29:,"The threefold division of Reason and of firmness also, according to the qualities, hear thou related unreservedly and severally, O Dhananjaya."
18:30:,"That which knoweth energy and abstinence, what ought to be done and what ought not to be done, fear and fearlessness, bondage and liberation, that Reason is pure, O Partha."
18:31:,"That by which one wrongly understandeth Right and Wrong, and also what ought to be done and what ought not to be done, that Reason, O Partha, is passionate."
18:32:,"That which, enwrapped in darkness, thinketh wrong to be right, and seeth all things subverted, that Reason, O Partha, is dark."
18:33:,"The firmness by which one holdeth fast the functions of the mind, of the life-breaths and of the senses, through yoga, unswerving, that firmness, O Partha, is pure."
18:34:,"But the firmness, O Arjuna, by which one holdeth fast duty, pleasure and wealth from attachment, desiring the fruit, that firmness, O Partha, is passionate."
18:35:,"That by which one from stupidity doth not abandon sleep, fear, grief, despair and also vanity, that firmness, O Partha, is dark."
18:36:,"And now the threefold happiness hear thou from Me, O bull of the Bharatas. That in which one rejoiceth by practice, and in which he findeth the end of pain;"
18:37:,"That which at first is as venom but in the end is as nectar; that happiness is said to be pure, born of the blissful knowledge of the Self."
18:38:,"That happiness which from the union of the senses with their objects at first is as nectar, but in the end is as venom, that is held to be passionate."
18:39:,"That happiness which in the beginning and in its consequence is delusive of the self, arising from sleep, indolence and heedlessness, that is declared dark."
18:40:,"There is not an entity on earth, or again in heaven among the Shining Ones, that is liberated from these three qualities born of Matter."
18:41:,"Of Brahmanas, Kshattriyas, Vaishyas and Shudras, O Parantapa, the duties have been distributed, according to the qualities born of their own natures."
18:42:,"Serenity, self-restraint, austerity, purity, forgiveness and also uprightness, wisdom, knowledge, belief in God, are the Brahmana-duty, born of his own nature."
18:43:,"Prowess, splendour, firmness, dexterity, and also not flying from battle, generosity, the nature of a ruler, are the Kshattriya-duty, born of his own nature."
18:44:,"Ploughing, protection of kine, and trade, are the Vaishya-duty, born of his own nature. Action of the nature of service is the Shudra-duty, born of his own nature."
18:45:,"Man reacheth perfection by each being intent on his own duty. How he findeth perfection who is intent on his own duty, that hear thou."
18:46:,"He from whom is the emanation of beings, by whom all This is pervaded, by worshipping Him in his own duty, a man winneth perfection."
18:47:,Better is one’s own duty though destitute of merit than the duty of another well-performed. He who doeth the duty laid down by his own nature incurreth not sin.
18:48:,"Congenital duty, O son of Kunti, though defective, ought not to be abandoned. All undertakings indeed are clouded by defects as fire by smoke."
18:49:,"He whose Reason is everywhere unattached, the self subdued, dead to desires, he by renunciation attaineth the supreme perfection of freedom from action."
18:50:,"How he who hath attained perfection also attaineth to the Eternal, hear thou, only in brief, O Kaunteya, for that is the supreme state of wisdom."
18:51:,"United to the Reason, purified, controlling the self by firmness, having abandoned sound and the other objects of the senses, having laid aside passion and malice,"
18:52:,"Dwelling in solitude, abstemious, speech, body and mind subdued, constantly united by yoga to meditation, taking refuge in dispassion,"
18:53:,"Having cast aside egoism, violence, arrogance, desire, wrath, covetousness, selfless and peaceful—he is fit to become the Eternal."
18:54:,"Becoming the Eternal, serene in the Self, he neither grieveth nor desireth; the same to all beings, he obtaineth supreme devotion unto Me."
18:55:,"By devotion he knoweth Me in essence, who and what I am; having thus known Me in essence, he forthwith entereth into the Supreme."
18:56:,"Though ever performing all actions, taking refuge in Me, by My favour he obtaineth the eternal indestructible abode."
18:57:,"Mentally renouncing all actions in Me, intent on Me, taking refuge in the yoga of discrimination, have thy thought ever on Me."
18:58:,"Thinking on Me, thou shalt overcome all obstacles by My favour; but if from egoism thou wilt not hear, thou shalt be destroyed utterly."
18:59:,"Entrenched in egoism, thou thinkest, ""I will not fight""; to no purpose is thy determination; nature will constrain thee."
18:60:,"O son of Kunti, bound by thine own duty born of thine own nature, that which from delusion thou desirest not to do, even that helplessly thou shalt perform."
18:61:,"The Lord dwelleth in the hearts of all beings, O Arjuna, by His illusive power causing all beings to revolve, as though mounted on a potter’s wheel."
18:62:,"Flee unto Him for shelter with all thy being, O Bharata; by His favour thou shalt obtain supreme peace and the everlasting dwelling-place."
18:63:,"Thus hath wisdom, more secret than secrecy itself, been declared unto thee by Me; having reflected on it fully, then act as thou listest."
18:64:,"Listen thou again to My supreme word, most secret of all; beloved art thou of Me, and steadfast in heart, therefore will I speak for thy benefit."
18:65:,"Merge thy mind in Me, be My devotee, sacrifice to Me, prostrate thyself before Me, thou shalt come even to Me. I pledge thee My troth; thou art dear to Me."
18:66:,"Abandoning all duties, come unto Me alone for shelter; sorrow not, I will liberate thee from all sins."
18:67:,"Never is this to be spoken by thee to anyone who is without asceticism, nor without devotion, nor one who desireth not to listen, nor yet to him who speaketh evil of Me."
18:68:,"He who shall declare this supreme secret among My devotees, having shown the highest devotion for Me, without doubt he shall come to Me."
18:69:,"Nor is there any among men who performeth dearer service to Me than he, nor any other shall be more beloved by Me on earth than he."
18:70:,"And he who shall study this sacred dialogue of ours, by him I shall be worshipped with the sacrifice of wisdom. Such is My mind."
18:71:,"The man also who, full of faith, merely heareth it uncarping, even he, freed from evil, shall attain the happy regions of the righteous."
18:72:,"Has this been heard, O son of Pritha, with one-pointed mind? Has thy delusion, caused by unwisdom, been destroyed, O Dhananjaya?"
18:73:,"Arjuna said: Destroyed is my delusion. I have gained knowledge through Thy favour, O Immutable one. I am firm, my doubts have fled away. I will do according to Thy word."
18:74:,"Sanjaya said: I heard this marvellous dialogue of Vasudeva and of the great-souled Partha, causing my hair to stand on end."
18:75:,"By the favour of Vyasa I listened to this secret and supreme yoga from the Lord of Yoga, Krishna Himself speaking before mine eyes."
18:76:,"O King, remembering, remembering this marvellous and holy dialogue between Keshava and Arjuna, I rejoice again and again."
18:77:,"Remembering, remembering, also that most marvellous form of Hari, great is my wonder, O King. I rejoice, again and again."
18:78:,"Wherever is Krishna, Yoga’s Lord, wherever is Partha, the archer, assured are there prosperity, victory and happiness. So I think."
